classname	QC;CnotQ;QnotC;notCnotQ	p_value	q_value
meo:MEO_0000088	16;1322;41;171980	6.249283638404343e-21	5.005676194361879e-18
meo:MEO_0000007	22;11829;35;161473	7.533581343309652e-12	3.0171993279955156e-09
meo:MEO_0000074	4;17;53;173285	6.256148245129413e-11	1.6703915814495534e-08
meo:MEO_0001231	3;1;54;173301	1.3475733901387588e-10	2.6985157137528644e-08
meo:MEO_0001238	2;0;55;173302	1.0621175905685564e-07	1.7015123800908275e-05
meo:MEO_0000013	4;278;53;173024	2.5295556909108127e-06	0.0003376956847365935
meo:MEO_0000004	7;3341;50;169961	0.00011315723321837304	0.012948420543988114
meo:MEO_0000006	3;472;54;172830	0.0005358041766176084	0.053647393183838044
meo:MEO_0000338	2;122;55;173180	0.0007893627939836751	0.07025328866454708
meo:MEO_0001235	1;2;56;173300	0.0009860737979569378	0.07517065443549222
meo:MEO_0001495	2;140;55;173162	0.001032306115843214	0.07517065443549222
meo:MEO_0000040	3;623;54;172679	0.0011859981349708877	0.07916537550930676
meo:MEO_0000002	3;963;54;172339	0.0040349480670529864	0.24861487705457244
meo:MEO_0000737	2;374;55;172928	0.006920642832572194	0.3959596363493091
meo:MEO_0000038	3;1369;54;171933	0.010537296715274487	0.5626916445956576
meo:MEO_0000855	1;79;56;173223	0.02597092020535715	1.0
meo:MEO_0000838	2;820;55;172482	0.030180226281819822	1.0
meo:MEO_0000066	3;2052;54;171250	0.030306047536706612	1.0
meo:MEO_0000024	2;1018;55;172284	0.04461430623711857	1.0
meo:MEO_0000014	1;306;56;172996	0.09610912681163471	1.0
meo:MEO_0000118	1;336;56;172966	0.10499906889641908	1.0
meo:MEO_0000694	1;391;56;172911	0.12107474378202503	1.0
meo:MEO_0000035	1;442;56;172860	0.13572760864962807	1.0
meo:MEO_0000912	1;604;56;172698	0.18069809109589197	1.0
meo:MEO_0000082	1;646;56;172656	0.19197672850238554	1.0
meo:MEO_0000046	1;706;56;172596	0.20782489768173898	1.0
meo:MEO_0000041	2;3245;55;170057	0.28932185902971436	1.0
meo:MEO_0000036	3;5991;54;167311	0.31525238644883713	1.0
meo:MEO_0001249	1;1212;56;172090	0.32987972951198036	1.0
meo:MEO_0000482	1;1678;56;171624	0.4258311287606081	1.0
meo:MEO_0000406	1;1970;56;171332	0.4789336617654416	1.0
meo:MEO_0000817	1;2037;56;171265	0.4904201363583329	1.0
meo:MEO_0001240	1;2803;56;170499	0.605303004942991	1.0
meo:MEO_0000158	1;4353;56;168949	0.765454500081315	1.0
meo:MEO_0000023	1;4378;56;168924	0.767424273911834	1.0
meo:MEO_0000837	1;10911;56;162391	0.9754329166136245	1.0
meo:MEO_0000466	4;31518;53;141784	0.995551054178823	1.0
meo:MEO_0001305	5;48727;52;124575	0.9999240969051535	1.0
meo:MEO_0000054	2;41277;55;132025	0.9999965229620824	1.0
http://www.w3.org/2002/07/owl#Thing	0;61;57;173241	1.0	1.0
meo:MEO_0000001	0;18;57;173284	1.0	1.0
meo:MEO_0000009	0;3;57;173299	1.0	1.0
meo:MEO_0000010	0;14;57;173288	1.0	1.0
meo:MEO_0000011	0;9;57;173293	1.0	1.0
meo:MEO_0000012	0;16;57;173286	1.0	1.0
meo:MEO_0000016	0;7;57;173295	1.0	1.0
meo:MEO_0000017	0;25;57;173277	1.0	1.0
meo:MEO_0000018	0;504;57;172798	1.0	1.0
meo:MEO_0000019	0;24;57;173278	1.0	1.0
meo:MEO_0000021	0;2;57;173300	1.0	1.0
meo:MEO_0000022	0;677;57;172625	1.0	1.0
meo:MEO_0000025	0;174;57;173128	1.0	1.0
meo:MEO_0000026	0;247;57;173055	1.0	1.0
meo:MEO_0000027	0;681;57;172621	1.0	1.0
meo:MEO_0000028	0;10;57;173292	1.0	1.0
meo:MEO_0000029	0;314;57;172988	1.0	1.0
meo:MEO_0000031	0;264;57;173038	1.0	1.0
meo:MEO_0000034	0;6;57;173296	1.0	1.0
meo:MEO_0000037	0;627;57;172675	1.0	1.0
meo:MEO_0000042	0;55;57;173247	1.0	1.0
meo:MEO_0000044	0;351;57;172951	1.0	1.0
meo:MEO_0000045	0;136;57;173166	1.0	1.0
meo:MEO_0000048	0;82;57;173220	1.0	1.0
meo:MEO_0000049	0;2762;57;170540	1.0	1.0
meo:MEO_0000050	0;2753;57;170549	1.0	1.0
meo:MEO_0000052	0;3;57;173299	1.0	1.0
meo:MEO_0000053	0;74;57;173228	1.0	1.0
meo:MEO_0000055	0;7200;57;166102	1.0	1.0
meo:MEO_0000058	0;122;57;173180	1.0	1.0
meo:MEO_0000059	0;762;57;172540	1.0	1.0
meo:MEO_0000060	0;7537;57;165765	1.0	1.0
meo:MEO_0000062	0;641;57;172661	1.0	1.0
meo:MEO_0000063	0;229;57;173073	1.0	1.0
meo:MEO_0000064	0;8;57;173294	1.0	1.0
meo:MEO_0000065	0;65;57;173237	1.0	1.0
meo:MEO_0000068	0;22;57;173280	1.0	1.0
meo:MEO_0000069	0;157;57;173145	1.0	1.0
meo:MEO_0000072	0;5;57;173297	1.0	1.0
meo:MEO_0000073	0;24;57;173278	1.0	1.0
meo:MEO_0000075	0;121;57;173181	1.0	1.0
meo:MEO_0000083	0;82;57;173220	1.0	1.0
meo:MEO_0000084	0;135;57;173167	1.0	1.0
meo:MEO_0000085	0;37;57;173265	1.0	1.0
meo:MEO_0000086	0;47;57;173255	1.0	1.0
meo:MEO_0000087	0;572;57;172730	1.0	1.0
meo:MEO_0000089	0;10;57;173292	1.0	1.0
